split,location,scenario,scenario_type,sample_count,valid_window_count,valid_step_count,rmse,mae,wet_dry_iou,false_dry_rate,false_wet_rate,target_wet_fraction,pred_wet_fraction,mean_target_depth,mean_pred_depth,max_target_depth,max_pred_depth,absolute_volume_bias_proxy,relative_volume_bias_proxy,absolute_relative_volume_bias_proxy,peak_depth_underprediction_proxy,step_rmse_mean,step_rmse_std,rollout_stability,missing_or_invalid_metric,warning_level
test,location3,r100y_p0.5_d3h,design,8,8,12,0.006647369943175719,0.0030888818049182496,0.9482837106299212,0.020355118330410024,0.003676418642635718,0.10004425048828125,0.10131645202636719,0.04152120372358089,0.041822905535809696,1.905573844909668,1.9168167114257812,474.5359191894531,0.007266210638721563,0.007266210638721563,0.0,0.006541883947341151,0.0011795254924096919,0.9988218641488603,False,reliable
test,location3,r100y_p0.8_d3h,design,8,8,12,0.006369230277367184,0.0031341282301582396,0.945578100087435,0.02088326143686425,0.003745128802064882,0.0955047607421875,0.09689776102701823,0.03886938081510986,0.0392723174203032,1.9246089458465576,1.9922571182250977,633.7644805908203,0.010366427165639503,0.010366427165639503,0.0,0.006275251479021026,0.001090097429300435,0.9989110895891392,False,reliable
test,location3,r200y_p0.5_d3h,design,8,8,12,0.005778808235931161,0.002957161263717959,0.9570994528711044,0.02119744212323004,0.00268259110002588,0.10578664143880208,0.1059430440266927,0.04505123904285332,0.04503845604873883,1.958777666091919,1.9535393714904785,20.105911254882812,-0.00028374345270113546,0.00028374345270113546,0.00523829460144043,0.005756093615332616,0.0005118705168758206,0.9994883913605029,False,reliable
test,location3,r200y_p0.7_d3h,design,8,8,12,0.005077766417103891,0.0027919472001182535,0.957988904128208,0.02621878081099242,0.0018569254831720108,0.10124015808105469,0.10025469462076823,0.04250046192707183,0.04221991424371178,1.9756193161010742,1.987264633178711,441.2633514404297,-0.006601050215441366,0.006601050215441366,0.0,0.005058702663740639,0.00043958910143139144,0.9995606040522383,False,reliable
test,location3,r300y_p0.1_d3h,design,8,8,12,0.007148271516389636,0.0030664989996391037,0.9477292713908824,0.04053615884722551,0.0016198110148586925,0.11568768819173177,0.11243057250976562,0.04948810200827817,0.04853803295797358,1.9552191495895386,1.9453080892562866,1494.3294067382812,-0.019197928628292674,0.019197928628292674,0.009911060333251953,0.006711392950567509,0.0024606892866958076,0.9975453508421894,False,reliable
test,location3,r300y_p0.5_d3h,design,8,8,12,0.005549564026458606,0.002960308842981855,0.9580926096640652,0.024883739903728483,0.0021758895170510095,0.1090990702311198,0.10832277933756511,0.04715709139903387,0.04694145038956776,1.9823250770568848,1.976024866104126,339.1739807128906,-0.00457282251870436,0.00457282251870436,0.006300210952758789,0.00554184265939053,0.0002926451636452845,0.9997074404524913,False,reliable
test,location3,r300y_p0.6_d3h,design,8,8,12,0.0064019663068341755,0.003163086463852475,0.9457131759818519,0.039603734001017535,0.0019428712862079745,0.11121940612792969,0.10854148864746094,0.04673023248324171,0.0461937837729541,1.9915499687194824,1.9887199401855469,843.7608642578125,-0.01147969273382046,0.01147969273382046,0.002830028533935547,0.0063842626018168645,0.0004757791346123759,0.9995244471235236,False,reliable
test,location3,r300y_p0.8_d3h,design,8,8,12,0.00560080424438324,0.0029880962683819234,0.9541325034412592,0.026412052445481247,0.0023695757543930117,0.10411008199055989,0.10348320007324219,0.044174016918987036,0.04407230737463882,2.011094808578491,2.0157508850097656,159.97528076171875,-0.0023024744282312,0.0023024744282312,0.0,0.0055893228350750645,0.00035843799248719955,0.9996416904392724,False,reliable
test,location3,r500y_p0.1_d3h,design,8,8,12,0.007673854180508414,0.0032557239561962583,0.9451365822479751,0.044389825301141,0.0015114711411607115,0.1200243631998698,0.1160265604654948,0.05225896780999998,0.0511434490326792,1.9793202877044678,1.9693303108215332,1754.559326171875,-0.02134597800279023,0.02134597800279023,0.00998997688293457,0.007197500535085063,0.0026615830450879945,0.9973454821745491,False,reliable
test,location3,r500y_p0.3_d3h,design,8,8,12,0.007034550849530651,0.003370481717865914,0.947333523271776,0.04175596158179065,0.0015904290612922996,0.12133725484212239,0.11766815185546875,0.05228943156544119,0.05115954558520267,1.9907203912734985,1.981991171836853,1777.156982421875,-0.02160830489856146,0.02160830489856146,0.008729219436645508,0.007012550222888446,0.0005559169644213568,0.9994443919075428,False,reliable
