seed,run_name,risk_proxy_group,risk_proxy_value,cell_count,rmse,mae,wet_dry_class_error_rate,false_dry_rate,false_wet_rate,false_dry_cell_fraction,false_wet_cell_fraction,pred_wet_fraction,target_wet_fraction,mean_confidence_margin,min_confidence_margin,max_confidence_margin
seed202,phase10_margin_aware_boundary_band_seed202_40e,boundary_distance_band,boundary_0px,1499234,0.07389323988649034,0.03662789116609239,0.10390706187292978,0.17438557664521676,0.060977128076332765,0.06601237698718146,0.03789468488574832,0.3504249503413076,0.3785426424427408,0.07811432485778981,2.056360244723221e-07,1.5845094442367553
seed202,phase10_margin_aware_boundary_band_seed202_40e,boundary_distance_band,far_field_gt3px,3032799,0.014704073208071445,0.008785653760778712,0.0014953183511337217,0.004574042309891366,0.0014720627016985032,3.429175491023309e-05,0.0014610265962234886,0.008923769758562964,0.007497034917249709,0.05471452351779775,1.2785196304293533e-06,1.2091729164123535
seed202,phase10_margin_aware_boundary_band_seed202_40e,boundary_distance_band,near_boundary_1_3px,2939071,0.05309327618737695,0.019308204196397265,0.007228134332243079,0.03130037178206575,0.004720188687326196,0.002953314159474201,0.0042748201727688786,0.09567547024212752,0.09435396422883285,0.09266692208119996,1.7583370208462679e-07,2.1557716846466066
seed202,phase10_margin_aware_boundary_band_seed202_40e,boundary_distance_band,no_target_boundary_frame,0,,,,,,,,,,,,
seed202,phase10_margin_aware_boundary_band_seed202_40e,target_depth_bin,deep,341316,0.19586079950771282,0.12820388688146875,0.012276014016336767,0.012276014016336767,0.0,0.012276014016336767,0.0,0.9877239859836632,1.0,0.5513537451162881,7.182359695462326e-07,2.1557716846466066
seed202,phase10_margin_aware_boundary_band_seed202_40e,target_depth_bin,dry_or_near_dry,6603530,0.014673608261166048,0.010194679413905193,0.011177052273556719,0.0,0.011177052273556719,0.0,0.011177052273556719,0.011177052273556719,0.0,0.04968644209361636,1.7583370208462679e-07,0.8857298612594604
seed202,phase10_margin_aware_boundary_band_seed202_40e,target_depth_bin,moderate,196519,0.09645445149545283,0.07706767006783402,0.06715890066609335,0.06715890066609335,0.0,0.06715890066609335,0.0,0.9328410993339067,1.0,0.12442221493369822,1.2546777725247482e-06,0.8536612510681152
seed202,phase10_margin_aware_boundary_band_seed202_40e,target_depth_bin,shallow,329739,0.048738258354538044,0.036643873127683975,0.27404704933295726,0.27404704933295726,0.0,0.27404704933295726,0.0,0.7259529506670427,1.0,0.04446356721251254,4.2021274566927946e-07,0.6971257448196411
seed202,phase10_margin_aware_boundary_band_seed202_40e,wet_dry_outcome,correct_dry,6529722,0.013044308950861054,0.009736326259293354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04997216583085531,8.076429367093185e-07,0.21679094731807708
seed202,phase10_margin_aware_boundary_band_seed202_40e,wet_dry_outcome,correct_wet,759822,0.12898187651954687,0.08111881982148005,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.296168528896048,9.208917617770096e-07,2.1557716846466066
