scenario_key,location,event,start_idx,matched_seed_count,matched_seeds,mean_prediction_std,max_prediction_std,p95_prediction_std,wet_dry_disagreement_rate,mean_seed_rmse,max_seed_rmse,target_max_depth,target_mean_depth,cell_count,rmse,mae,wet_dry_class_error_rate,false_dry_rate,false_wet_rate,false_dry_cell_fraction,false_wet_cell_fraction,pred_wet_fraction,target_wet_fraction,mean_confidence_margin,min_confidence_margin,max_confidence_margin
location3|r100y_p0.5_d3h|6,location3,r100y_p0.5_d3h,6,3,seed123;seed202;seed42,0.014512793777551526,0.5075175224943989,0.050900744988560155,0.0354461669921875,0.04774028303814685,0.05866200102086689,1.866689920425415,0.0519613102442687,196608,0.039952042967224204,0.015413914295564504,0.019170125325520832,0.08197882804034341,0.010439477678519703,0.010004679361979166,0.009165445963541666,0.1212005615234375,0.122039794921875,0.0812496091069761,1.5695889791361717e-07,1.8498023271560669
location3|r200y_p0.5_d3h|0,location3,r200y_p0.5_d3h,0,3,seed123;seed202;seed42,0.01606454322844356,0.556840274204135,0.05747878900061806,0.050715128580729164,0.05789530571231549,0.06737837432969274,1.9122755527496338,0.061935554569454404,196608,0.050602144208843736,0.02029689584491906,0.035883585611979164,0.1878474849491726,0.008092123866651426,0.029042561848958332,0.006841023763020833,0.13240559895833334,0.15460713704427084,0.08051187975114167,4.2021274566927946e-07,1.9465900182723999
location3|r200y_p0.5_d3h|12,location3,r200y_p0.5_d3h,12,3,seed123;seed202;seed42,0.01444053910695413,0.5662417380131434,0.04865811647600571,0.033701578776041664,0.04889686886243375,0.059155806190456635,1.820621371269226,0.04862984315572932,196608,0.041206892315644894,0.01641747036012246,0.0180206298828125,0.04990109692501349,0.0139535683971462,0.005645751953125,0.0123748779296875,0.11986796061197917,0.11313883463541667,0.0809533093696195,7.172425587967379e-07,1.9110679944356281
location3|r200y_p0.5_d3h|6,location3,r200y_p0.5_d3h,6,3,seed123;seed202;seed42,0.01449686351047663,0.502800988937526,0.05015911907812532,0.036290486653645836,0.050692965135048444,0.05982059393793942,1.9122755527496338,0.05628236580592589,196608,0.0435699378821268,0.01641363621696079,0.017913818359375,0.09377222793013515,0.006707452335641149,0.0120697021484375,0.0058441162109375,0.12248738606770833,0.12871297200520834,0.08137429088096722,1.0857979456588285e-06,1.8642308235168457
location3|r300y_p0.6_d3h|0,location3,r300y_p0.6_d3h,0,3,seed123;seed202;seed42,0.016819065556842556,0.5543010665061382,0.05858945177180168,0.06011962890625,0.06700978768391701,0.07552917434714111,1.9415950775146484,0.06592769427495893,196608,0.059829520764378946,0.02471655846314964,0.0464630126953125,0.23180535100638194,0.00963320651643742,0.038426717122395836,0.008036295572916666,0.13538106282552084,0.165771484375,0.07945819979287432,1.5695889791361717e-07,1.959701450665792
location3|r300y_p0.6_d3h|12,location3,r300y_p0.6_d3h,12,3,seed123;seed202;seed42,0.014694575118451061,0.5293718733931274,0.05111900901311629,0.0335693359375,0.050211096775481946,0.05985997893127002,1.8407260179519653,0.05125148835109677,196608,0.04249532557260245,0.0160225152838033,0.015716552734375,0.05705063898460331,0.010260189658051255,0.00665283203125,0.009063720703125,0.11902364095052083,0.11661275227864583,0.08185055719098576,3.2429893811539157e-06,1.8734119256337483
location3|r300y_p0.6_d3h|6,location3,r300y_p0.6_d3h,6,3,seed123;seed202;seed42,0.014279890998230191,0.5760998018460792,0.048984010210041166,0.036092122395833336,0.05555634797521867,0.06560081679263148,1.9415950775146484,0.059678326157314616,196608,0.04960298563618032,0.018395067287707498,0.019256591796875,0.0989136649514008,0.006990544276381821,0.0131988525390625,0.0060577392578125,0.1262969970703125,0.1334381103515625,0.08301746303813312,4.6491622925082243e-07,1.9342893679936726
location3|r300y_p0.8_d3h|0,location3,r300y_p0.8_d3h,0,3,seed123;seed202;seed42,0.015600171336643312,0.5471378580429656,0.0538769174380506,0.0533905029296875,0.06621784638474347,0.07482551309828935,1.9666359424591064,0.06177320422988441,196608,0.060142892560874024,0.024766336051277274,0.0533447265625,0.2564102564102564,0.01274351838289146,0.042724609375,0.0106201171875,0.134521484375,0.1666259765625,0.07754719400819189,9.437402088974256e-09,1.9544753154118857
location3|r300y_p0.8_d3h|12,location3,r300y_p0.8_d3h,12,3,seed123;seed202;seed42,0.014564285757837534,0.5725709447879503,0.05045987172447705,0.034154256184895836,0.053558013849126083,0.06481240225478634,1.8554701805114746,0.05247485665237601,196608,0.04678178380630066,0.017364736973799175,0.017567952473958332,0.05400524573246764,0.012679476899469862,0.006388346354166667,0.011179606119791666,0.12308247884114583,0.11829121907552083,0.08328792446808266,4.2915344238003694e-07,1.9093881368637085
location3|r300y_p0.8_d3h|6,location3,r300y_p0.8_d3h,6,3,seed123;seed202;seed42,0.01621814355368326,0.5630527865872379,0.05609645908809315,0.050048828125,0.06876789603314488,0.08049018352534118,1.9666359424591064,0.0614508263679503,196608,0.062246892835225144,0.023156136513161587,0.02655029296875,0.1200266232805798,0.011641622042414663,0.016510009765625,0.010040283203125,0.13108317057291666,0.13755289713541666,0.08170299755289914,5.584955215451326e-06,1.984594694773356
