row,col,observation_count,low_margin_count,false_dry_count,deep_underprediction_count,boundary_count,high_risk_case_count,low_margin_fraction,false_dry_fraction,deep_underprediction_fraction,boundary_fraction,high_risk_case_fraction
0,97,1368,112,197,95,504,146,0.08187134502923976,0.1440058479532164,0.06944444444444445,0.3684210526315789,0.1067251461988304
0,98,1368,31,54,9,198,66,0.02266081871345029,0.039473684210526314,0.006578947368421052,0.14473684210526316,0.04824561403508772
0,99,1368,4,3,0,54,5,0.0029239766081871343,0.0021929824561403508,0.0,0.039473684210526314,0.003654970760233918
0,100,1368,11,0,0,3,5,0.00804093567251462,0.0,0.0,0.0021929824561403508,0.003654970760233918
0,101,1368,4,0,0,3,2,0.0029239766081871343,0.0,0.0,0.0021929824561403508,0.0014619883040935672
0,102,1368,31,3,0,9,18,0.02266081871345029,0.0021929824561403508,0.0,0.006578947368421052,0.013157894736842105
0,103,1368,14,9,0,9,17,0.01023391812865497,0.006578947368421052,0.0,0.006578947368421052,0.012426900584795321
0,104,1368,20,9,0,9,14,0.014619883040935672,0.006578947368421052,0.0,0.006578947368421052,0.01023391812865497
0,105,1368,15,6,0,9,8,0.010964912280701754,0.0043859649122807015,0.0,0.006578947368421052,0.005847953216374269
0,106,1368,2,0,0,6,0,0.0014619883040935672,0.0,0.0,0.0043859649122807015,0.0
0,107,1368,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,108,1368,19,0,0,0,0,0.013888888888888888,0.0,0.0,0.0,0.0
0,109,1368,13,0,0,0,8,0.009502923976608187,0.0,0.0,0.0,0.005847953216374269
0,110,1368,4,0,0,0,0,0.0029239766081871343,0.0,0.0,0.0,0.0
0,111,1368,11,0,0,0,0,0.00804093567251462,0.0,0.0,0.0,0.0
0,112,1368,15,0,0,0,0,0.010964912280701754,0.0,0.0,0.0,0.0
0,113,1368,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,114,1368,29,0,0,0,0,0.021198830409356724,0.0,0.0,0.0,0.0
0,115,1368,3,0,0,0,0,0.0021929824561403508,0.0,0.0,0.0,0.0
0,116,1368,7,0,0,0,0,0.005116959064327485,0.0,0.0,0.0,0.0
0,117,1368,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,118,1368,12,0,0,0,0,0.008771929824561403,0.0,0.0,0.0,0.0
0,119,1368,17,0,0,0,11,0.012426900584795321,0.0,0.0,0.0,0.00804093567251462
0,120,1368,6,0,0,0,3,0.0043859649122807015,0.0,0.0,0.0,0.0021929824561403508
0,121,1368,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,122,1368,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,123,1368,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,124,1368,16,0,0,0,4,0.011695906432748537,0.0,0.0,0.0,0.0029239766081871343
0,125,1368,23,0,0,0,0,0.016812865497076022,0.0,0.0,0.0,0.0
0,126,1368,149,0,0,0,48,0.10891812865497076,0.0,0.0,0.0,0.03508771929824561
0,127,1368,0,0,168,0,48,0.0,0.0,0.12280701754385964,0.0,0.03508771929824561
1,0,1368,4,0,0,0,0,0.0029239766081871343,0.0,0.0,0.0,0.0
1,1,1368,2,0,0,432,0,0.0014619883040935672,0.0,0.0,0.3157894736842105,0.0
1,2,1368,7,0,55,432,4,0.005116959064327485,0.0,0.0402046783625731,0.3157894736842105,0.0029239766081871343
1,3,1368,44,0,0,432,0,0.03216374269005848,0.0,0.0,0.3157894736842105,0.0
1,4,1368,48,0,0,432,0,0.03508771929824561,0.0,0.0,0.3157894736842105,0.0
1,5,1368,3,0,2,432,0,0.0021929824561403508,0.0,0.0014619883040935672,0.3157894736842105,0.0
1,6,1368,23,0,107,6,0,0.016812865497076022,0.0,0.07821637426900585,0.0043859649122807015,0.0
1,7,1368,32,0,37,15,0,0.023391812865497075,0.0,0.027046783625730993,0.010964912280701754,0.0
1,8,1368,18,0,82,45,0,0.013157894736842105,0.0,0.059941520467836254,0.03289473684210526,0.0
1,9,1368,16,0,61,213,0,0.011695906432748537,0.0,0.0445906432748538,0.15570175438596492,0.0
1,10,1368,20,0,47,213,0,0.014619883040935672,0.0,0.03435672514619883,0.15570175438596492,0.0
