phase,seed,run_name,run_dir,batch_file,batch_name,batch_index,sample_index,timestep,target_volume_proxy,prediction_volume_proxy,volume_bias,relative_volume_bias,absolute_relative_volume_bias,target_wet_area,prediction_wet_area,target_dry_area,wet_area_bias,wet_area_contraction,false_dry_count,false_wet_count,false_dry_rate,false_wet_rate,false_dry_volume_loss,false_wet_volume_excess,peak_depth_target,peak_depth_prediction,peak_depth_underprediction,rmse,mae
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,0,5,1139.693897748665,1001.082757845521,-138.61113990314402,-0.12162137585974127,0.12162137585974127,2783,2323,13601,-460,0.16528925619834706,496,36,0.17822493711821769,0.002646864201161679,41.12924276292324,2.2150681912899017,1.938297152519226,1.8666630983352661,0.07163405418395996,0.041958327177098034,0.019460977603653354
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,0,6,1141.3780574387554,1329.5340888649225,188.15603142616715,0.16484987616494737,0.16484987616494737,2725,2913,13659,188,0.0,193,381,0.07082568807339447,0.027893696463869973,14.433527454733849,23.950590029358864,1.9415950775146484,1.9641307592391968,0.0,0.04010548911420369,0.022751949490853643
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,0,7,1107.1099381173324,761.1381158679724,-345.97182224936,-0.312499969820245,0.312499969820245,2518,1990,13866,-528,0.20969023034154083,529,1,0.2100873709293089,7.211885186787826e-05,44.9458489343524,0.05191986262798309,1.926398515701294,1.7168207168579102,0.2095777988433838,0.06540891349497525,0.03072513846922835
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,0,8,1069.8897507349018,1024.2698699980974,-45.61988073680436,-0.04263979602147629,0.04263979602147629,2360,2242,14024,-118,0.04999999999999998,191,73,0.08093220338983048,0.0052053622361665705,13.318611331284046,4.342442259192467,1.9065190553665161,1.7987340688705444,0.10778498649597168,0.03658253331905187,0.016794707270351775
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,0,9,1037.4124357599428,1458.3917883336544,420.9793525737116,0.40579748040645797,0.40579748040645797,2267,3417,14117,1150,0.0,21,1171,0.009263343625937358,0.08294963519161294,1.3817216902971268,75.54133434593678,1.8886010646820068,1.9340578317642212,0.0,0.048174033822663914,0.030653354089338905
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,0,10,1008.5115621826333,699.1735573410988,-309.3380048415345,-0.30672727655403476,0.30672727655403476,2187,1864,14197,-323,0.14769090077732047,329,6,0.15043438500228618,0.0004226244981334084,28.01247898489237,0.3375326097011566,1.8724720478057861,1.6208961009979248,0.25157594680786133,0.06381578304426838,0.02925533841095594
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,0,11,981.6105460515943,1254.654260352254,273.04371430065964,0.2781589046683978,0.2781589046683978,2133,2694,14251,561,0.0,14,575,0.00656352555086732,0.04034804575117535,0.9298261292278767,36.99239782989025,1.8555351495742798,1.897300124168396,0.0,0.03859218830107202,0.022381353755643506
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,1,0,1141.3780574387554,836.2710221558809,-305.10703528287445,-0.26731461437723125,0.26731461437723125,2725,2044,13659,-681,0.24990825688073387,685,4,0.25137614678899073,0.0002928472069697635,59.8551395945251,0.221562922000885,1.9415950775146484,1.782081961631775,0.15951311588287354,0.05659558304829934,0.027433815038237094
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,1,1,1107.1099381173324,879.0292269289494,-228.08071118838302,-0.20601450979316444,0.20601450979316444,2518,2080,13866,-438,0.17394757744241454,443,5,0.17593328038125491,0.00036059425933939127,35.635834977030754,0.27910055220127106,1.926398515701294,1.813634991645813,0.11276352405548096,0.0489346351296858,0.022958732832564818
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,1,2,1069.8897507349018,904.5934700518847,-165.29628068301713,-0.15449842431846442,0.15449842431846442,2360,2130,14024,-230,0.09745762711864403,256,26,0.1084745762711864,0.0018539646320593266,18.58480441942811,1.447170615196228,1.9065190553665161,1.8241571187973022,0.08236193656921387,0.044525966045514426,0.020381361552106972
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,1,3,1037.4124357599428,1179.57624296844,142.16380720849725,0.1370369221613937,0.1370369221613937,2267,2507,14117,240,0.0,62,302,0.027348919276576962,0.02139264716299497,3.9884695075452328,18.475661993026733,1.8886010646820068,1.937425971031189,0.0,0.034643407321725335,0.0185209165013306
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,1,4,1008.5115621826333,804.662660613656,-203.84890156897723,-0.20212847250635846,0.20212847250635846,2187,1973,14197,-214,0.09785093735711016,223,9,0.10196616369455871,0.0006339367472001126,16.161254335194826,0.48754213750362396,1.8724720478057861,1.7487759590148926,0.12369608879089355,0.047158442503089114,0.022309750823628058
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,1,5,981.6105460515943,994.1658697575331,12.555323705938804,0.012790534653932775,0.012790534653932775,2133,2199,14251,66,0.0,55,121,0.0257852789498359,0.008490632236334292,3.5980478934943676,6.989475235342979,1.8555351495742798,1.8504973649978638,0.005037784576416016,0.03227462677891438,0.014832569046431897
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,1,6,956.3100688465096,1170.6739218086004,214.36385296209085,0.22415726859454055,0.22415726859454055,2084,2413,14300,329,0.0,20,349,0.009596928982725524,0.0244055944055944,1.3795652016997337,22.160066083073616,1.8407260179519653,1.9273227453231812,0.0,0.03783683226814836,0.019568856001176534
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,1,7,931.4675663314778,817.1212857812643,-114.34628055021346,-0.12275927223162311,0.12275927223162311,2051,1979,14333,-72,0.03510482691370062,103,31,0.05021940516821061,0.002162840996302239,7.309786848723888,1.7198516875505447,1.8247802257537842,1.7720214128494263,0.05275881290435791,0.03704848570457644,0.017631928367322115
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,1,8,907.6084768232253,942.7486922293901,35.140215406164884,0.03871737241719162,0.03871737241719162,2031,2079,14353,48,0.0,51,99,0.025110782865583447,0.006897512715111823,3.3963287323713303,5.750941708683968,1.8077501058578491,1.83511221408844,0.0,0.03125580591398509,0.014620005201220344
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,1,9,885.0070786624725,1038.9567865282297,153.9497078657572,0.17395308080295138,0.17395308080295138,1994,2187,14390,193,0.0,29,222,0.014543630892678027,0.015427380125086864,2.030399702489376,14.213831007480621,1.7898824214935303,1.8696166276931763,0.0,0.03706423208741656,0.01750460921654367
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,1,10,863.6401333229857,842.6573156714439,-20.982817651541723,-0.024295788074145123,0.024295788074145123,1965,1969,14419,4,0.0,74,78,0.03765903307888039,0.0054095290935571114,5.021680511534214,5.010688006877899,1.7724945545196533,1.7891076803207397,0.0,0.031244141020134265,0.014986110836851273
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,1,11,843.2907348654822,967.8021867871284,124.5114519216462,0.14764949592563414,0.14764949592563414,1920,2100,14464,180,0.0,32,212,0.01666666666666666,0.014657079646017698,2.252245705574751,14.618177622556686,1.758084774017334,1.8477543592453003,0.0,0.03576578488242824,0.01682597044543207
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0017/forecast_maps.npz,test_batch_0017,17,0,0,956.3100688465096,854.6803936362267,-101.62967521028293,-0.10627272316903176,0.10627272316903176,2084,2013,14300,-71,0.03406909788867561,105,34,0.050383877159309,0.002377622377622377,7.290783576667309,1.8950874507427216,1.8407260179519653,1.7026333808898926,0.13809263706207275,0.036605927237984,0.01719692134388543
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0017/forecast_maps.npz,test_batch_0017,17,0,1,931.4675663314778,896.2692100852728,-35.19835624620498,-0.037788064253091815,0.037788064253091815,2051,2034,14333,-17,0.008288639687957091,76,59,0.03705509507557288,0.0041163747994139395,5.318938422948122,3.3884442299604416,1.8247802257537842,1.7511686086654663,0.07361161708831787,0.03341218523123989,0.015610538076819593
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0017/forecast_maps.npz,test_batch_0017,17,0,2,907.6084768232253,897.5074138194323,-10.101063003793001,-0.01112931760966835,0.01112931760966835,2031,2042,14353,11,0.0,58,69,0.028557360905957643,0.0048073573468961186,3.8828626722097397,4.084705874323845,1.8077501058578491,1.7600386142730713,0.04771149158477783,0.03190431063162752,0.014970971695059822
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0017/forecast_maps.npz,test_batch_0017,17,0,3,885.0070786624725,1028.445280522108,143.43820185963557,0.16207576788698255,0.16207576788698255,1994,2194,14390,200,0.0,34,234,0.017051153460381135,0.016261292564280747,2.3733225911855698,15.03760689496994,1.7898824214935303,1.8329306840896606,0.0,0.03597036184928414,0.017212731605542646
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0017/forecast_maps.npz,test_batch_0017,17,0,4,863.6401333229857,724.493790641427,-139.14634268155862,-0.16111611458602776,0.16111611458602776,1965,1838,14419,-127,0.06463104325699742,158,31,0.08040712468193381,0.0021499410500034673,11.948205597698689,1.9535619765520096,1.7724945545196533,1.6511921882629395,0.12130236625671387,0.03887729207573394,0.019644172789540552
